parent,child
38730,21
48221,71
40053,73
45983,273
43281,278
37391,279
40827,327
36923,412
36649,419
43726,420
39175,432
36915,476
36917,477
47023,548
40598,549
39552,550
41839,552
36516,587
36919,707
39805,727
39573,798
40931,799
38845,800
44188,801
36650,908
39734,920
49177,941
36616,953
45983,1065
37583,1066
45846,1067
39170,1072
39930,1112
41012,1226
38712,1290
38712,1291
42277,1292
42929,1293
36627,1294
38839,1354
36881,1516
42275,1564
36892,1568
42069,1658
44343,1711
49533,1846
40827,1862
36896,1864
36907,1865
36623,1899
38941,1920
42730,1937
37785,1943
47084,2009
39643,2011
36510,2013
40827,2117
41782,2223
37721,2286
36630,2299
38831,2418
45647,2419
49883,2420
39838,2422
36637,2423
41423,2425
42275,2426
42276,2427
37522,2428
42069,2429
39911,2432
40741,2481
36627,2638
41783,2739
41423,2766
39824,2767
39317,2768
37586,2769
39837,2770
36649,2771
36512,2856
40641,2859
45133,2943
41781,3019
36516,3226
38944,3233
37785,3257
39552,3263
36907,3489
36881,3490
39930,3492
42278,3493
37586,3551
41734,3552
36649,3553
45647,3554
39848,3555
36627,3567
36900,3568
36730,3569
36936,3572
38336,3574
43726,3575
36728,3607
39735,3731
36722,3738
37788,3739
40229,3747
36919,3766
36907,3818
36649,3928
36631,3938
39930,3955
39550,3956
36512,3957
44941,4006
44232,4007
39809,4035
39809,4037
36512,4060
39570,4099
38839,4100
39569,4101
44232,4173
36649,4174
37586,4175
45647,4176
40229,4199
38731,4200
39830,4201
37496,4202
41829,4226
37579,4227
38968,4245
44713,4272
41840,4280
43855,4293
39785,4315
45489,4351
39830,4352
47085,4354
36929,4364
36728,4365
37889,4366
36623,4368
37585,4402
42849,4418
38833,4497
36516,4498
37391,4499
41017,4514
37391,4515
43580,4554
36631,4555
46815,4556
36511,4595
45983,4698
43286,4699
39838,5052
41423,5056
47070,5058
38832,5065
46823,5071
39833,5072
48738,5084
45983,5086
46943,5167
39859,5174
39859,5175
47704,5176
37586,5177
36626,5228
48041,7414
41230,7415
42275,7416
38835,7447
48221,7452
37888,7494
41734,7539
39837,7540
39808,7541
37586,7542
39318,7543
39837,7544
37581,7546
41017,7592
44572,7594
39840,7595
39814,7597
36919,7608
36623,7692
37786,8270
39806,8356
39806,8357
37586,8360
36920,8361
39426,8743
36907,8923
36514,8924
36720,9023
39645,9027
38836,9664
40743,9674
36631,9751
42730,9764
41015,9769
42276,9812
46535,9813
36510,9834
42934,9864
40082,10141
38724,10177
38944,10202
37890,10203
38731,10208
47142,10273
39553,10276
44711,10282
47054,10283
45983,10416
42928,10426
42928,10427
38941,10428
47395,10429
47080,10477
42930,10484
49807,10486
47079,10493
40827,10494
48851,10496
47081,10497
40742,10499
47080,10500
47089,10506
47081,10517
47076,10518
47079,10519
47078,10520
47082,10526
47086,10527
47077,10528
36514,10590
47085,10637
47087,10638
47088,10639
47083,10640
42927,10669
36650,10674
42880,10700
39173,10805
48330,10820
43577,10821
48330,10823
38957,10856
47089,10861
43580,10876
46927,10878
39835,10920
41017,10921
44478,10922
44478,10923
42879,10965
38714,10968
37583,10969
47139,10984
41016,10989
42928,11064
47080,11113
41782,11156
42069,11202
40114,11256
38839,11303
44024,11325
42278,11327
48217,11329
48217,11330
47084,11348
48041,11351
37522,11380
36513,11394
44855,11404
43282,11405
42928,11406
46021,11407
40052,11408
42929,11412
36907,11413
36618,11414
37332,11463
37888,11498
36938,11544
38843,11545
47076,11546
39786,11554
44855,11555
45133,11561
38958,11574
37587,11580
38831,11585
39858,11586
36732,11590
39170,11594
39552,11595
42879,11610
49678,11614
39644,11618
36899,11664
36907,11665
48626,11672
42274,11673
40930,11674
37581,11675
42931,11676
41739,11677
40598,11686
40598,11687
38970,11695
40929,11699
38337,11725
44478,11726
39930,11729
39451,11739
38832,11755
42274,11757
41839,11766
36624,11767
48625,11785
36640,11803
40635,11858
41013,11871
42730,11872
41474,11873
41785,11874
39802,11883
46923,11891
42275,11894
39552,11895
48221,11916
36650,11937
38940,11962
38945,11963
36649,12011
44941,12013
38946,12064
37720,12066
39549,12074
38846,12079
41840,12080
38715,12081
39846,12088
39846,12089
39735,12105
40099,12132
48041,12144
42278,12158
49678,12175
44713,12176
40974,12197
45970,12203
40740,12204
45427,12205
38160,12270
37882,12275
36896,12276
39930,12280
41016,12404
36922,12405
47023,12406
38728,12408
48221,12414
47057,12445
47054,12446
39786,12487
46030,12629
43285,12651
43285,12652
40635,12655
44958,12656
42034,12658
36938,12662
49678,12666
43852,12668
41013,12728
36649,12760
48036,12761
38970,12762
48624,12763
40114,12816
40597,12889
38654,12915
48930,12937
45977,12964
45979,12965
48640,12992
48629,12993
45974,12994
42275,13000
45978,13003
45975,13004
45972,13021
45980,13022
39551,13059
37789,13065
45976,13091
45973,13092
37581,13106
41474,13124
45434,13144
36914,13281
42634,13311
46026,13323
44950,13324
42034,13331
41017,13332
37892,13379
38837,13441
43188,13442
42642,13451
40931,13509
39734,13518
39553,13520
39553,13521
45847,13580
45849,13581
48639,13593
48624,13594
48036,13595
38942,13651
42066,13652
36628,13664
47581,13679
37330,13681
46927,13693
42640,13699
46802,13702
40974,13730
43852,13741
38715,13742
37326,13752
38715,13770
45133,13812
41014,13823
44572,13856
46021,13879
42845,13880
42845,13881
36512,13884
37586,13907
41738,13921
36647,13941
41424,13945
43852,13946
42751,13947
36649,13948
44186,13953
42751,13954
42751,13956
47705,13957
37581,13986
39835,13992
39826,13993
39835,13994
48221,14028
49533,14076
41842,14079
41017,14090
39567,14142
42317,14158
44950,14213
44950,14216
36730,14249
48624,14253
36922,14254
37324,14257
37329,14260
42099,14267
37788,14271
40081,14278
40080,14279
45971,14280
39912,14281
37521,14299
44933,14322
40695,14323
36625,14324
36618,14333
38654,14336
38942,14359
47025,14409
39563,14419
39566,14420
39173,14427
40827,14457
43187,14465
45647,14468
42275,14469
43286,14502
38161,14520
45501,14533
47259,14541
42457,14542
46814,14543
48632,14544
48635,14545
38728,14550
36514,14556
37329,14574
37892,14587
36510,14588
39649,14593
40827,14608
36637,14629
39733,14667
46924,14687
42277,14688
37325,14700
42150,14718
36649,14720
48631,14721
38946,14724
47139,14725
36911,14741
37888,14787
37888,14802
36907,14837
36931,14855
37391,14947
39843,14948
38915,14953
37331,14969
39577,14971
44370,14998
46823,14999
41473,15034
40053,15056
48635,15057
48632,15058
45852,15100
45854,15101
36906,15121
45238,15133
38944,15153
42277,15166
41171,15169
42879,15170
44604,15207
39577,15221
37580,15250
47142,15291
44941,15292
39806,15293
45853,15297
45853,15298
39860,15326
39860,15327
38101,15329
45846,15353
45848,15356
37324,15357
43281,15359
43281,15360
45850,15362
45647,15390
42862,15466
41272,15467
43852,15520
48331,15542
37334,15600
42150,15615
46925,15616
37335,15617
42774,15619
42150,15629
36930,15637
42629,15642
39173,15653
44401,15684
45489,15692
40661,15740
46338,15746
37333,15750
42317,15751
43088,15752
42048,15753
43088,15754
38915,15762
36928,15763
45852,15770
37323,15772
37328,15773
46926,15774
38735,15778
36510,15796
37327,15798
44229,15817
39847,15818
46802,15828
36650,15832
40049,15834
39173,15836
48632,15841
48635,15842
37587,15851
47076,15856
41830,15879
41785,15881
37327,15900
39807,15907
44950,15923
36926,15924
36621,15925
40079,15927
40079,15928
44950,15947
40082,15951
40082,15953
40082,15954
40082,15957
40082,15958
40082,15959
48637,15961
37888,15965
37888,15966
47055,15982
47057,15983
44711,15984
43187,15985
39836,16036
39645,16037
38735,16049
36514,16067
37777,16073
42628,16099
38843,16100
39173,16105
47361,16116
36627,16168
47717,16179
39170,16185
44701,16197
42277,16202
36938,16242
42408,16276
45972,16283
45974,16284
42278,16301
42275,16302
39174,16304
39173,16328
39553,16336
47085,16377
40053,16381
47361,16383
38734,16406
39857,16409
37586,16410
42634,16417
41739,16429
36932,16448
46815,16449
39577,16453
36937,16454
38727,16459
43281,16517
42928,16520
43281,16534
43281,16535
42927,16537
41739,16538
41129,16539
41783,16551
43852,16557
39827,16561
41739,16562
42318,16563
40054,16564
46823,16572
43285,16574
39317,16575
48929,16576
42069,16583
39553,16589
48630,16592
47739,16616
42279,16681
40598,16686
42934,16687
43580,16688
42642,16705
44593,16717
46923,16719
36937,16725
36907,16733
40053,16751
48938,16753
48938,16754
48938,16755
48938,16756
48634,16757
44476,16763
43190,16771
44604,16774
38101,16807
38837,16823
39450,16824
38002,16825
40928,16826
36511,16849
36512,16850
37787,16854
38161,16859
47088,16867
37330,16871
46928,16914
40741,16926
36910,16932
48632,16979
41473,17035
43188,17064
36630,17079
45850,17089
40974,17093
40759,17107
44854,17157
